Generation, Wild-Type per Virus, H47R per Virus
0,1.0000000000,0.0000000000
1,1.1500000000,0.0100000000
2,1.2800000000,0.0300000000
3,1.5000000000,0.0700000000
4,1.7500000000,0.1500000000
5,2.1300000000,0.1900000000
6,2.7000000000,0.1900000000
7,3.2500000000,0.1900000000
8,4.2400000000,0.1400000000
9,5.1700000000,0.2300000000
10,6.3200000000,0.1700000000
11,5.0000000000,0.0000000000
12,5.3200000000,0.0100000000
13,5.4500000000,0.0100000000
14,5.7400000000,0.0200000000
15,5.9700000000,0.0300000000
16,6.2100000000,0.0200000000
17,6.5200000000,0.0700000000
18,6.9500000000,0.1300000000
19,7.1200000000,0.2100000000
20,7.4400000000,0.1400000000
21,7.8500000000,0.1100000000
22,8.0100000000,0.1300000000
23,8.0300000000,0.2100000000
24,8.3000000000,0.1500000000
25,8.7300000000,0.1800000000
26,8.5900000000,0.3200000000
27,8.6800000000,0.4700000000
28,9.4800000000,0.5000000000
29,9.6900000000,0.4800000000
30,9.6100000000,0.4900000000
31,9.2500000000,0.7000000000
32,9.5300000000,0.8800000000
33,9.9400000000,0.7800000000
34,10.3800000000,1.1500000000
35,10.6200000000,1.0800000000
36,11.1600000000,1.0400000000
37,11.7300000000,1.2800000000
38,11.7200000000,1.7200000000
39,11.7800000000,2.2900000000
40,10.7500000000,2.3000000000
41,11.7800000000,2.4400000000
42,10.3000000000,2.9300000000
43,9.8400000000,2.8000000000
44,10.0900000000,2.1800000000
45,10.4600000000,2.3500000000
46,10.7900000000,2.9600000000
47,6.0000000000,0.0000000000
48,6.2900000000,0.0200000000
49,6.7200000000,0.0400000000
50,5.0000000000,0.0000000000
51,5.3200000000,0.0300000000
52,5.4800000000,0.0600000000
53,5.6900000000,0.0800000000
54,5.9600000000,0.0900000000
55,6.1000000000,0.0600000000
56,6.6500000000,0.0600000000
57,7.1700000000,0.0500000000
58,7.3700000000,0.0600000000
59,8.0700000000,0.1700000000
60,7.9300000000,0.2100000000
61,8.1500000000,0.2700000000
62,8.3500000000,0.2600000000
63,8.3200000000,0.3700000000
64,8.7400000000,0.4000000000
65,9.2800000000,0.5100000000
66,9.7100000000,0.5900000000
67,10.4200000000,0.6300000000
68,10.5400000000,0.7700000000
69,10.6600000000,0.6200000000
70,11.6900000000,0.5800000000
71,11.5200000000,0.6100000000
72,12.5800000000,0.6600000000
73,11.9500000000,1.1200000000
74,12.3100000000,1.2800000000
75,11.1200000000,2.0900000000
76,3.0000000000,0.0000000000
77,3.1600000000,0.0300000000
78,3.3000000000,0.0200000000
79,3.4300000000,0.0400000000
80,3.8300000000,0.0600000000
81,3.9600000000,0.0600000000
82,4.3200000000,0.1000000000
83,4.5800000000,0.1600000000
84,5.0800000000,0.1400000000
85,5.6100000000,0.1300000000
86,6.0100000000,0.1400000000
87,6.5300000000,0.1700000000
88,7.3300000000,0.1700000000
89,7.7600000000,0.2500000000
90,7.6500000000,0.0100000000
91,8.3800000000,0.0500000000
92,7.3500000000,0.0900000000
93,8.4700000000,0.1600000000
94,9.0300000000,0.2500000000
95,9.1000000000,0.2400000000
96,6.0000000000,0.0000000000
97,6.0000000000,0.0000000000
98,6.2500000000,0.0200000000
99,6.4700000000,0.0400000000
100,6.4900000000,0.0500000000
101,6.9100000000,0.1100000000
102,7.3900000000,0.1300000000
103,7.9600000000,0.1800000000
104,8.5900000000,0.1700000000
105,9.0700000000,0.1800000000
106,9.2600000000,0.2400000000
107,6.0000000000,1.0000000000
108,6.3100000000,0.9900000000
109,6.6100000000,1.0300000000
110,7.0800000000,1.0900000000
111,6.0000000000,0.0000000000
112,6.3600000000,0.0100000000
113,6.7200000000,0.0500000000
114,7.2200000000,0.1500000000
115,7.0000000000,0.0000000000
116,7.3100000000,0.0100000000
117,7.4800000000,0.0300000000
118,7.8100000000,0.1300000000
119,7.9400000000,0.2400000000
120,8.4200000000,0.2900000000
121,8.9100000000,0.3900000000
122,9.3500000000,0.3400000000
123,8.9800000000,0.5100000000
124,9.0600000000,0.4200000000
125,9.8000000000,0.5900000000
126,9.7900000000,0.7700000000
127,9.9100000000,0.8300000000
128,10.5400000000,0.9000000000
129,10.7600000000,1.0400000000
130,11.5100000000,0.9000000000
131,7.0000000000,0.0000000000
132,7.2900000000,0.0300000000
133,7.6100000000,0.0400000000
134,8.0900000000,0.0400000000
135,8.4300000000,0.0800000000
136,7.0000000000,0.0000000000
137,7.6200000000,0.0200000000
138,8.0500000000,0.0400000000
139,8.1900000000,0.0800000000
140,8.4500000000,0.1300000000
141,9.1400000000,0.1800000000
142,9.5100000000,0.2100000000
143,10.6000000000,0.2900000000
144,11.5600000000,0.2700000000
145,11.7700000000,0.2700000000
146,11.7200000000,0.3300000000
147,12.4500000000,0.4500000000
148,13.0500000000,0.4100000000
149,13.6200000000,0.4800000000
150,14.1700000000,0.5500000000
151,14.2600000000,0.8400000000
152,14.4800000000,1.1900000000
153,14.0000000000,1.5100000000
154,13.4400000000,1.4900000000
155,13.8000000000,1.6200000000
156,13.4300000000,1.4700000000
157,12.5500000000,1.6600000000
158,12.7200000000,1.9300000000
159,12.5800000000,1.9300000000
160,11.9000000000,1.8600000000
161,10.9200000000,1.8000000000
162,10.6600000000,1.9300000000
163,9.9600000000,1.7600000000
164,8.3100000000,1.6600000000
165,8.3400000000,1.5900000000
166,8.4000000000,1.4400000000
167,6.9700000000,1.5400000000
168,6.4400000000,1.5600000000
169,5.8100000000,1.7600000000
170,5.1900000000,1.8300000000
171,4.4000000000,1.7900000000
172,4.0300000000,1.7400000000
173,4.0900000000,1.9500000000
174,3.8700000000,1.8600000000
175,3.7500000000,1.8700000000
176,3.0000000000,1.9200000000
177,3.4000000000,1.8300000000
178,3.3600000000,1.8600000000
179,3.0600000000,1.9300000000
180,2.9800000000,2.0300000000
181,2.3500000000,2.1000000000
182,2.7700000000,2.1400000000
183,2.8600000000,2.2600000000
184,2.3200000000,2.2500000000
185,2.4200000000,2.3600000000
186,2.1200000000,2.6600000000
187,1.9900000000,2.5900000000
188,2.0700000000,2.6900000000
189,1.7700000000,2.7500000000
190,1.8900000000,2.6900000000
191,1.4800000000,3.0800000000
192,1.6500000000,2.9800000000
193,1.2600000000,2.9100000000
194,1.1300000000,2.9700000000
195,0.9200000000,2.6100000000
196,0.8400000000,2.4100000000
197,0.7700000000,2.4400000000
198,0.6300000000,2.5900000000
199,0.3200000000,2.9200000000
200,0.4000000000,3.1500000000
201,0.1300000000,3.6400000000
202,0.0600000000,4.0300000000
203,0.0800000000,4.1500000000
204,0.1000000000,4.1200000000
205,0.1100000000,4.3300000000
206,0.1000000000,4.5200000000
207,0.1200000000,4.2700000000
208,0.1600000000,3.5500000000
209,0.2300000000,3.6200000000
210,0.2000000000,3.7400000000
211,0.2500000000,3.6200000000
212,0.2300000000,3.6700000000
213,0.2200000000,3.5500000000
214,0.1300000000,3.8100000000
215,0.1100000000,3.5100000000
216,0.1500000000,3.2700000000
217,0.1800000000,3.7700000000
218,0.3500000000,3.4200000000
219,0.2400000000,3.3800000000
220,0.1900000000,3.2900000000
221,0.0700000000,2.6700000000
222,0.0700000000,2.6900000000
223,0.0000000000,1.9500000000
224,0.0000000000,2.0800000000
225,0.0000000000,2.1200000000
226,0.0000000000,2.5400000000
227,0.0000000000,2.7000000000
228,0.0000000000,2.9900000000
229,0.0000000000,2.7600000000
230,0.0000000000,3.2100000000
231,0.0000000000,3.5200000000
232,0.0000000000,3.0700000000
233,0.0000000000,3.4200000000
234,0.0000000000,3.2000000000
235,0.0000000000,3.3600000000
236,0.0000000000,3.7200000000
237,0.0000000000,3.5400000000
238,0.0000000000,3.1800000000
239,0.0000000000,3.2900000000
240,0.0000000000,3.0100000000
241,0.0000000000,2.9000000000
242,0.0000000000,3.0600000000
243,0.0000000000,2.7300000000
244,0.0000000000,2.9200000000
245,0.0000000000,2.8600000000
246,0.0000000000,2.8000000000
247,0.0000000000,2.7700000000
248,0.0000000000,2.3100000000
249,0.0000000000,2.3300000000
